Name,Address,Category,Organization Type,Description,Services,Career Fields,Student Connections,Website,Phone,Email,Record ID,Source
Experimental Aircraft Association Chapter 275,"Lompoc Airport, Lompoc, CA 93436",Aerospace & Technology,Community Organization,"Local aviation organization connection for career exploration, projects, and community outreach.",Aviation education • Aircraft projects • Young Eagles flights • Community events,Aviation • Aerospace • Engineering • Skilled trades,Career exploration • Mentorship inquiry,https://chapters.eaa.org/eaa275,,,LOM-EAA275,Momentum local business research; reviewed 2026-08
Northrop Grumman — Vandenberg,"Vandenberg Space Force Base, CA 93437",Aerospace & Technology,Business,Employer listing for Vandenberg-area career exploration; not an established student partner.,Engineering • Launch support • Program management • Technical operations,Aerospace engineering • Project management • Systems integration • Technical trades,Career-information inquiry only,https://jobs.northropgrumman.com/careers/%2A/united_states_california_vandenberg_afb?domain=ngc.com,,,LOM-NORTHROP,Official organization website; reviewed 2026-08
RGNext,Vandenberg SFB area,Aerospace & Technology,Business,Range operations and technical mission support.,Aerospace • Information technology • Engineering • Mission support,,,https://www.rgnext.com/,,,LOM-RGNEXT,Lompoc starter directory
SpaceX — Vandenberg,Vandenberg SFB area,Aerospace & Technology,Business,"Launch, engineering, and operations career exploration.",Aerospace • Engineering • Manufacturing • Operations,,,https://www.spacex.com/careers/,,,LOM-SPACE-X,Lompoc starter directory
The Aerospace Corporation — Vandenberg,"806 13th St, Bldg 7015, Vandenberg SFB, CA 93437",Aerospace & Technology,Nonprofit,Federally funded research and development organization with a Vandenberg location.,Systems engineering • Launch support • Space operations • Technical analysis,Systems engineering • Aerospace • Cybersecurity • Program management,Career-information inquiry only,https://aerospace.org/locations,805-737-0903,,LOM-AEROSPACE-CORP,Official organization website; reviewed 2026-08
United Launch Alliance — Vandenberg,"Vandenberg Space Force Base, CA 93437",Aerospace & Technology,Business,Vandenberg launch-operations employer; listing does not imply a student partnership.,Launch operations • Aerospace systems • Inventory • Technical operations,Aerospace engineering • Technician careers • Logistics • Systems testing,Career-information inquiry only,https://jobs.ulalaunch.com/go/VANDENBERG-SPACE-FORCE-BASE-JOBS/9545600/,,,LOM-ULA,Official organization website; reviewed 2026-08
Vandenberg Space Force Base,"Vandenberg SFB, CA",Aerospace & Technology,Government,Military and civilian aerospace career areas.,Aerospace • Cybersecurity • Engineering • Public safety • Logistics,,,https://www.vandenberg.spaceforce.mil/,,,LOM-SPACEFORCE,Lompoc starter directory
Animal Care Hospital — Lompoc,"1307A N H St, Suite A, Lompoc, CA 93436",Animals & Veterinary,Business,"Local veterinary hospital connection for career exploration, projects, and community outreach.",Veterinary medicine • Animal care • Client service • Clinic operations,Veterinary science • Animal care • Healthcare • Business,Career exploration • Veterinary job-shadow inquiry,https://achlompoc.com/,,,LOM-ANIMALCAREHOSP,Momentum local business research; reviewed 2026-08
Doggie Parlour,"Lompoc, CA",Animals & Veterinary,Business,Pet grooming and animal-care business.,Animal care • Grooming • Customer service • Small business,,,https://www.google.com/maps/search/?api=1&query=Doggie+Parlour+Lompoc+CA,,,LOM-DOGGROOM,Lompoc starter directory
Lompoc Animal Shelter,"1501 W Central Ave, Lompoc, CA 93436",Animals & Veterinary,Business,Animal care and shelter services.,Animal care • Veterinary support • Public service,,,https://www.countyofsb.org/845/Animal-Services,,,LOM-SHELTER,Lompoc starter directory
Petco — Lompoc,"Lompoc, CA 93436",Animals & Veterinary,Business,"Local pet retail & services connection for career exploration, projects, and community outreach.",Pet retail • Animal care • Grooming • Customer service,Animal care • Retail • Customer service • Business,Career exploration • Employment inquiry,https://stores.petco.com/ca/lompoc,,,LOM-PETCO,Momentum local business research; reviewed 2026-08
Return to Freedom Wild Horse Conservation,"4115 Jalama Rd, Lompoc, CA 93436",Animals & Veterinary,Nonprofit,Wild horse and burro sanctuary with recurring public volunteer days in Lompoc.,Wild horse sanctuary • Animal care • Conservation education • Advocacy • Volunteer days,Animal care • Environmental science • Nonprofit work • Education • Communications,Volunteer program • Career exploration,https://returntofreedom.org/,805-737-9246,volunteers@returntofreedom.org,LOM-RETURN-TO-FREEDOM,Momentum Lompoc directory v23.1.0
Village Veterinary Clinic,"Lompoc, CA",Animals & Veterinary,Business,Veterinary care and animal-health careers.,Animal care • Veterinary support • Customer service • Medical records,,,https://www.villagevetlompoc.com/,,,LOM-VILLAGEVET,Lompoc starter directory
Bella Florist & Gifts,"133 N I St, Lompoc, CA 93436","Arts, Culture & Media",Business,,Floral arrangements • Gift retail • Event support,Floral design • Retail • Customer service • Small business,Potential partner inquiry,https://www.bellafloristlompoc.com/,,,LOM-BELLA-FLORIST,Momentum local business research; reviewed 2026-08
Bumatay Jewelers,"111 W Ocean Ave, Lompoc, CA 93436","Arts, Culture & Media",Business,,Jewelry sales • Custom jewelry • Goldsmithing • Repair,Jewelry design • Metalwork • Retail • Small business,Potential partner inquiry,,805-736-4850,,LOM-BUMATAY,Lompoc Valley Chamber member directory; reviewed 2026-08
Certain Sparks Music,"107 S H St, Lompoc, CA 93436","Arts, Culture & Media",Business,"Local music school, store, recording studio, and performance space.",Music lessons • Music retail • Recording studio • Youth camps • Live events,Music • Audio production • Teaching • Retail • Event production,Creative career exploration • Project partner inquiry,https://certainsparks.com/,805-588-9479,,LOM-CERTAIN-SPARKS,Momentum Lompoc directory v23.1.0
Chapter Two Bookstore,"Lompoc, CA","Arts, Culture & Media",Business,Independent bookstore and community retail.,Books • Retail • Customer service,,,https://explorelompoc.com/directory/the-book-store/,,,LOM-CHAPTER2,Lompoc starter directory
Garcia Dance Studio,"1006 N H St, Lompoc, CA 93436","Arts, Culture & Media",Business,Local dance studio listed by the Lompoc Valley Chamber.,Dance instruction • Performance • Youth arts,Dance • Teaching • Choreography • Small business,Dance-teaching career inquiry,,805-717-9273,,LOM-GARCIA-DANCE,Lompoc Valley Chamber member directory; reviewed 2026-08
Inklings Printing Co.,"403 N G St, Lompoc, CA 93436","Arts, Culture & Media",Business,,Commercial printing • Design production • Customer service,Graphic design • Printing • Prepress • Sales • Small business,Potential partner inquiry,,805-736-2737,,LOM-INKLINGS-PRINTING,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Civic Theatre,"P.O. Box 69, Lompoc, CA 93438","Arts, Culture & Media",Nonprofit,Community theatre with creative and technical pathways.,Community theatre • Acting • Stagecraft • Production support,Acting • Directing • Costume design • Lighting • Set construction,Production volunteer inquiry • Theatre career conversation,https://www.lompoccivictheatre.com/,805-735-2281,,LOM-CIVIC-THEATRE,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Concert Association,"Lompoc, CA 93436","Arts, Culture & Media",Nonprofit,All-volunteer community concert association.,Live concerts • Artist booking • Event production • Volunteer coordination,Music • Event production • Marketing • Nonprofit management,Event volunteer inquiry • Behind-the-scenes career conversation,https://www.lompocconcert.org/,805-588-5971,,LOM-CONCERT-ASSOC,Official organization website; reviewed 2026-08
Lompoc Media Center / KPEG 100.9,"125 W Walnut Ave, Lompoc, CA 93436","Arts, Culture & Media",Government,City media center operating community television and radio services.,Community television • FM radio • Video production • Public access media,Broadcasting • Audio production • Video editing • Journalism • Public communication,Studio tour inquiry • Media-production career conversation,https://www.cityoflompoc.com/community/information/media-center,805-875-2750,,LOM-MEDIA-CENTER,City of Lompoc official website; reviewed 2026-08
Lompoc Mural and Public Arts Coalition,"1201-J E Ocean Ave, Lompoc, CA 93436","Arts, Culture & Media",Nonprofit,"Potential connection for mural, design, and civic-art projects.",Public art • Murals • Community beautification • Arts advocacy,Mural arts • Public art planning • Community engagement • Project management,Public-art project inquiry • Artist interview inquiry,https://members.lompoc.com/list/member/lompoc-mural-and-public-arts-coalition-1901,,,LOM-MURAL-COALITION,Lompoc Valley Chamber member directory; reviewed 2026-08
Lompoc Museum,"200 S H St, Lompoc, CA 93436","Arts, Culture & Media",Business,"Museum with local history, art, and photography.",History • Museums • Education • Art • Community service,,,https://explorelompoc.com/directory/lompoc-museum/,,,LOM-MUSEUM,Lompoc starter directory
Lompoc Pops Orchestra,"P.O. Box 1372, Lompoc, CA 93438","Arts, Culture & Media",Nonprofit,Professional and community orchestra based in the Lompoc Valley.,Orchestra performances • Concert production • Community music,Instrumental music • Conducting • Stage production • Arts administration,Rehearsal or musician interview inquiry,http://www.lompocpopsorchestra.com/,805-735-6463,,LOM-POPS-ORCHESTRA,Lompoc Valley Chamber member directory; reviewed 2026-08
